Όνομα;Χονδρική τιμή (€);Περιγραφή;Κατηγορία;Barcode (EAN);Φωτογραφία;URL επίσημου site
WISE MEN BEARD & HAIR SHAMPOO FRESH;;Το Beard & Hair Shampoo της wise men καθαρίζει σε βάθος τα γένια αφήνοντάς τα μαλακά, ενώ παράλληλα θρέφει και προστατεύει την τρίχα από την καθημερινή φυσική ή χημική καταπόνηση. Με νότες σανταλόξυλου και musk.;Ανδρική Περιποίηση;5204559515625;https://www.vican.gr/pub/media/catalog/product/cache/943338449f392e591c2115a51e5b080b/5/2/5204559515625_1_t20231122112000.jpg;https://www.vican.gr/el/wise-men-beard-hair-shampoo-fresh-5204559515625.html
WISE MEN BEARD & HAIR SHAMPOO SPICY;;Το Beard & Hair Shampoo της wise men καθαρίζει σε βάθος τα γένια αφήνοντάς τα μαλακά, ενώ παράλληλα θρέφει και προστατεύει την τρίχα από την καθημερινή φυσική ή χημική καταπόνηση. Με νότες κάρδαμου και bitter orange.;Ανδρική Περιποίηση;5204559515618;https://www.vican.gr/pub/media/catalog/product/cache/943338449f392e591c2115a51e5b080b/5/2/5204559515618_1_t20231122112000.jpg;https://www.vican.gr/el/wise-men-beard-hair-shampoo-spicy-5204559515618.html
WISE MEN BEARD OIL FRESH;;Λαδάκι που μαλακώνει και δίνει λάμψη στο μούσι του άντρα χωρίς να λαδώνει. Προστατεύει και ενυδατώνει τόσο την επιδερμίδα όσο και την τρίχα, χάρη στα μοναδικά συστατικά του, όπως η Βιταμίνη Ε, το argan oil, το jojoba oil και το αμυγδαλέλαιο. Με νότες σανταλόξυλου και musk.;Ανδρική Περιποίηση;5204559515526;https://www.vican.gr/pub/media/catalog/product/cache/943338449f392e591c2115a51e5b080b/5/2/5204559515526_1_t20230717095735.jpg;https://www.vican.gr/el/wise-men-beard-oil-fresh-5204559515526.html
WISE MEN BEARD OIL SPICY;;Λαδάκι που μαλακώνει και δίνει λάμψη στο μούσι του άντρα χωρίς να λαδώνει. Προστατεύει και ενυδατώνει τόσο την επιδερμίδα όσο και την τρίχα, χάρη στα μοναδικά συστατικά του, όπως η Βιταμίνη Ε, το argan oil, το jojoba oil και το αμυγδαλέλαιο. Με νότες κάρδαμου και bitter orange.;Ανδρική Περιποίηση;5204559515519;https://www.vican.gr/pub/media/catalog/product/cache/943338449f392e591c2115a51e5b080b/5/2/5204559515519_1_t20230717095735.jpg;https://www.vican.gr/el/wise-men-beard-oil-spicy-5204559515519.html
WISE MEN ALL IN ONE CREAM;;Το απόλυτο ανδρικό προϊόν 3 σε 1. After-shave, ενυδατική και αντιγηραντική 24ωρη κρέμα προσώπου για ενυδατωμένη, ξεκούραστη και πιο ανθεκτική ανδρική επιδερμίδα. Απορροφάται γρήγορα, δεν αφήνει λιπαρότητα και έχει υπέροχο άρωμα κέδρου.;Ανδρική Περιποίηση;5204559051505;https://www.vican.gr/pub/media/catalog/product/cache/943338449f392e591c2115a51e5b080b/5/2/5204559051505_1_t20230717095735.jpg;https://www.vican.gr/el/wise-men-all-in-one-cream-5204559051505.html
KOCOSTAR COLLAGEN LIFTING CHIN MASK;;Ελαστική μάσκα υδρογέλης που ενυδατώνει, συσφίγγει και βοηθά στη διατήρηση του σχηματισμού της γραμμής του πιγουνιού (περιοχή της γνάθου έως τα αυτιά). Η μοναδική της σύνθεση με νιασιναμίδη, κολλαγόνο και πεπτίδια συμβάλλει στη σύσφιξη και τη βελτίωση της ελαστικότητας της επιδερμίδας. Κλινικά ελεγμένη: ορατή βελτίωση της σύσφιξης της επιδερμίδας στην περιοχή του πιγουνιού.;Γυναικεία Περιποίηση;8809328327774;https://www.vican.gr/pub/media/catalog/product/cache/943338449f392e591c2115a51e5b080b/8/8/8809328327774_1_t20260520113840.jpg;https://www.vican.gr/el/kocostar-collagen-lifting-chin-mask-8809328327774.html
KOCOSTAR HYDROGEL MELT MASK THANAKA FIT;;Καινοτόμος μάσκα προσώπου με vegan-certified υφασμάτινη βάση Tencel από 100% φυσικές ίνες ευκαλύπτου και “melt” υδρογέλη (Patent No. 10-1296105, Hydrogelated Nonwoven Sheet) που αγκαλιάζει απαλά την επιδερμίδα προσφέροντας ομοιόμορφη εφαρμογή και μεγαλύτερη διάρκεια ενυδάτωσης. Εμπλουτισμένη με πούδρα και εκχύλισμα Thanaka, Υαλουρονικό Οξύ και Κεραμίδια συμβάλλει στη βελτίωση της υφής της επιδερμίδας, χαρίζοντας πιο λεία και απαλή όψη. Κλινικά ελεγμένη: συμβάλλει στη βελτίωση της υφής της επιδερμίδας.;Γυναικεία Περιποίηση;8809328327545;https://www.vican.gr/pub/media/catalog/product/cache/943338449f392e591c2115a51e5b080b/8/8/8809328327545_1_t20260520113840.jpg;https://www.vican.gr/el/kocostar-hydrogel-melt-mask-thanaka-fit-8809328327545.html
KOCOSTAR HYDROGEL MELT MASK PDRN FIT;;Καινοτόμος μάσκα προσώπου με vegan-certified υφασμάτινη βάση Tencel από 100% φυσικές ίνες ευκαλύπτου και “melt” υδρογέλη (Patent No. 10-1296105, Hydrogelated Nonwoven Sheet) που αγκαλιάζει απαλά την επιδερμίδα προσφέροντας ομοιόμορφη εφαρμογή και μεγαλύτερη διάρκεια ενυδάτωσης. Εμπλουτισμένη με φυτικής προέλευσης PDRN, ροδόνερο και εκχύλισμα τριαντάφυλλο συμβάλλει στην ορατή μείωση των λπετών γραμμών και στη βελτίωση της όψης της επιδεμίδας. Κλινικά ελεγμένη: συμβάλλει στη βελτίωση της ελαστικότητας της επιδερμίδας.;Γυναικεία Περιποίηση;8809328327668;https://www.vican.gr/pub/media/catalog/product/cache/943338449f392e591c2115a51e5b080b/8/8/8809328327668_1_t20260520113840.jpg;https://www.vican.gr/el/kocostar-hydrogel-melt-mask-pdrn-fit-8809328327668.html
KOCOSTAR HYDROGEL MELT MASK CICA FIT;;Καινοτόμος μάσκα προσώπου με vegan-certified υφασμάτινη βάση Tencel από 100% φυσικές ίνες ευκαλύπτου και “melt” υδρογέλη (Patent No. 10-1296105, Hydrogelated Nonwoven Sheet) που αγκαλιάζει απαλά την επιδερμίδα προσφέροντας ομοιόμορφη εφαρμογή και μεγαλύτερη διάρκεια ενυδάτωσης. Εμπλουτισμένη με Centella Asiatica, Πράσινο Τσάι και εκχύλισμα Heartleaf συμβάλλει στην καταπράυνση της ευαίσθητης επιδερμίδας, χαρίζοντας πιο λεία και απαλή όψη. Κλινικά ελεγμένη: συμβάλλει στην καταπράυνση του δέρματος από εξωτερικούς ερεθισμούς.;Γυναικεία Περιποίηση;8809328327538;https://www.vican.gr/pub/media/catalog/product/cache/943338449f392e591c2115a51e5b080b/8/8/8809328327538_1_t20260520113840.jpg;https://www.vican.gr/el/kocostar-hydrogel-melt-mask-cica-fit-8809328327538.html
KOCOSTAR A.M. SUNDAY HYDROGEL NECK MASK;;Ενισχυμένη μάσκα περιποίησης για την περιοχή του λαιμού με 42% θαλάσσιο κολλαγόνο, 6 πεπτίδια και αδενοσίνη. Το χαμηλό μοριακό βάρος του κολλαγόνου (400 Da) και η πορώδης μορφή της μάσκας (micro-hole patent) εξασφαλίζουν την αποτελεσματική απορρόφηση των ενεργών συστατικών συμβάλλοντας στη σφριγηλότητα της επιδερμίδας στην περιοχή του λαιμού.;Γυναικεία Περιποίηση;8809328327484;https://www.vican.gr/pub/media/catalog/product/cache/943338449f392e591c2115a51e5b080b/8/8/8809328327484_1_t20251128112000.jpg;https://www.vican.gr/el/kocostar-a-m-sunday-hydrogel-neck-mask-8809328327484.html
